k,inertia,silhouette_score
2,31.121977606058575,0.8451124340713241
3,3.4070392739352893,0.8292762043390371
4,0.8951289413696853,0.73785415530758
5,0.47528687044171786,0.697397874731491
6,0.2621362104426625,0.6354503426662799
7,0.18027246068104724,0.6590458832422404
8,0.09968981502293876,0.701123890517712
