CLASS_OR_AVERAGE,precision,recall,f1-score,support
DEB,0.9307692307692308,0.9550118389897395,0.9427347097779509,2534.0
PAY,0.9732268670737435,0.9583718778908418,0.965742251223491,4324.0
accuracy,0.9571303587051618,0.9571303587051618,0.9571303587051618,0.9571303587051618
macro avg,0.9519980489214872,0.9566918584402906,0.9542384805007209,6858.0
weighted avg,0.9575389623791335,0.9571303587051618,0.9572410686596241,6858.0
