METRIC,VALUE
Accuracy,0.9571303587051618
Balanced accuracy,0.9566918584402906
Macro precision,0.9519980489214872
Macro recall,0.9566918584402906
Macro F1,0.9542384805007209
PAY precision,0.9732268670737435
PAY recall,0.9583718778908418
DEB precision,0.9307692307692308
DEB recall,0.9550118389897395
