CLUSTER,N_OBJECTS,MEAN_PERIOD,MEAN_INCLINATION,MEAN_ALTITUDE,MEAN_ORBIT_SPREAD,PAYLOADS,DEBRIS,ROCKET_BODIES
0,3126,103.22529430582215,88.53460972488804,910.1775431861804,298.4593730006398,138,2845,133
1,10271,98.4606922402882,92.24901372797196,684.0370947327427,39.893486515431796,4559,5121,561
2,10925,94.34126224256292,50.57718169336384,486.3875057208238,4.13720823798627,10706,130,82
3,3480,112.09793103448276,84.4541091954023,1321.8771551724137,77.88649425287356,1803,1505,170
4,687,113.06889374090248,65.98353711790394,1364.5793304221252,1311.4235807860262,89,533,65
