FEATURE,IMPORTANCE
ORBIT_SPREAD,0.3395380716619961
ALTITUDE_RATIO,0.2802967443518086
MEAN_ALTITUDE,0.14836363033892203
PERIOD,0.12085833450813557
INCLINATION,0.11094321913913771
